2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_co/7_median               11.5 us         11.5 us          100 items_per_second=86.7342k/s
BM_gao_additive_fft_co/7_stddev              0.033 us        0.033 us          100 items_per_second=250.466/s
BM_gao_additive_fft_co/7_cv                   0.29 %          0.29 %           100 items_per_second=0.29%
BM_gao_additive_fft_co/8_mean                 25.9 us         25.9 us          100 items_per_second=38.6051k/s
BM_gao_additive_fft_co/8_median               26.0 us         26.0 us          100 items_per_second=38.4946k/s
BM_gao_additive_fft_co/8_stddev              0.148 us        0.148 us          100 items_per_second=222.73/s
BM_gao_additive_fft_co/8_cv                   0.57 %          0.57 %           100 items_per_second=0.58%
BM_gao_additive_fft_co/9_mean                 59.4 us         59.4 us          100 items_per_second=16.834k/s
BM_gao_additive_fft_co/9_median               59.2 us         59.2 us          100 items_per_second=16.8873k/s
BM_gao_additive_fft_co/9_stddev              0.574 us        0.574 us          100 items_per_second=162.454/s
BM_gao_additive_fft_co/9_cv                   0.97 %          0.97 %           100 items_per_second=0.97%
BM_gao_additive_fft_co/10_mean                 133 us          133 us          100 items_per_second=7.50941k/s
BM_gao_additive_fft_co/10_median               132 us          132 us          100 items_per_second=7.57008k/s
BM_gao_additive_fft_co/10_stddev              1.74 us         1.74 us          100 items_per_second=97.48/s
BM_gao_additive_fft_co/10_cv                  1.31 %          1.31 %           100 items_per_second=1.30%
BM_gao_additive_fft_co/11_mean                 306 us          306 us          100 items_per_second=3.26501k/s
BM_gao_additive_fft_co/11_median               306 us          306 us          100 items_per_second=3.26809k/s
BM_gao_additive_fft_co/11_stddev             0.817 us        0.817 us          100 items_per_second=8.69379/s
BM_gao_additive_fft_co/11_cv                  0.27 %          0.27 %           100 items_per_second=0.27%
BM_gao_additive_fft_co/12_mean                 692 us          692 us          100 items_per_second=1.44571k/s
BM_gao_additive_fft_co/12_median               692 us          692 us          100 items_per_second=1.44514k/s
BM_gao_additive_fft_co/12_stddev              1.88 us         1.88 us          100 items_per_second=3.90943/s
BM_gao_additive_fft_co/12_cv                  0.27 %          0.27 %           100 items_per_second=0.27%
BM_gao_additive_fft_co/13_mean                1567 us         1567 us          100 items_per_second=638.305/s
BM_gao_additive_fft_co/13_median              1567 us         1567 us          100 items_per_second=638.156/s
BM_gao_additive_fft_co/13_stddev              2.48 us         2.48 us          100 items_per_second=1.01012/s
